student name,age,average mark
Howard Smoot,30,7.52
Robert Gonzalez,28,7.91
Leticia Wright,21,5.72
Carl Olson,24,6.19
Evelyn Daniels,19,4.54
Robert Hatley,25,4.39
Kelly Stewart,29,4.5
Logan Pruitt,18,7.63
Tammy Wong,30,6.13
Henry Quinton,24,9.51
Stanley Monteleone,30,4.76
Harry Neher,28,9.4
Jason Rossetti,23,7.23
Emma Marcus,26,5.36
Lindsey Cummings,18,6.88
Miguel Guinn,25,5.41
James Herring,27,5.65
Glenda Cisneros,21,7.86
Gladys Purdom,29,9.43
Marjorie Rapelyea,25,6.85
Malcolm Smith,30,6.78
Erica Broussard,19,8.73
Emma Mcbride,19,7.36
Raymond Soileau,18,7.27
Rikki Gomes,30,7.19
Thomas Spaur,29,6.4
Gabrielle Szmidt,29,8.41
Justin Gonzales,24,7.66
